user_id,item_id,rating
53,22,4.0
53,38,4.0
53,53,3.0
53,54,4.0
53,59,3.0
53,76,4.0
53,89,4.0
53,96,3.0
53,106,4.0
53,109,5.0
53,131,3.0
53,132,4.0
53,149,1.0
53,150,1.0
54,109,1.0
54,131,3.0
54,148,4.0
55,22,4.0
55,43,4.0
56,5,3.0
56,12,3.0
56,17,4.0
56,19,4.0
56,20,3.0
56,22,4.0
56,23,4.0
56,25,4.0
56,35,3.0
56,40,3.0
56,78,3.0
56,80,3.0
56,81,4.0
56,83,4.0
56,98,4.0
56,112,3.0
56,125,5.0
56,134,5.0
56,137,3.0
56,138,3.0
56,149,1.0
56,150,4.0
57,20,4.0
57,36,3.0
57,113,4.0
58,8,4.0
58,17,3.0
58,43,4.0
58,50,4.0
58,51,4.0
58,54,4.0
58,55,4.0
58,57,4.0
58,76,4.0
58,88,4.0
58,92,4.0
58,98,4.0
58,109,4.0
58,110,4.0
58,131,4.0
58,132,4.0
58,134,3.0
58,140,4.0
58,148,4.0
59,8,4.0
60,50,3.0
61,44,4.0
61,53,3.0
62,55,3.0
62,59,5.0
62,88,4.0
63,12,4.0
63,19,4.0
63,35,3.0
63,54,3.0
63,118,4.0
64,12,1.0
64,109,4.0
64,139,4.0
65,12,4.0
65,24,4.0
65,39,4.0
65,132,4.0
65,138,4.0
66,50,4.0
67,17,4.0
67,22,4.0
67,34,3.0
67,71,4.0
68,11,3.0
68,20,4.0
68,111,4.0
68,124,5.0
68,131,4.0
68,142,1.0
69,49,4.0
69,76,4.0
71,149,4.0
72,15,3.0
72,17,5.0
72,19,4.0
72,25,4.0
72,50,3.0
72,53,3.0
72,54,4.0
72,76,1.0
72,80,4.0
72,81,4.0
72,84,4.0
72,112,4.0
72,122,3.0
72,132,3.0
73,46,4.0
73,53,4.0
74,30,1.0
74,125,4.0
74,126,4.0
74,138,4.0
75,12,4.0
75,59,4.0
75,109,4.0
75,122,4.0
75,132,1.0
76,134,3.0
77,10,4.0
77,55,3.0
77,96,4.0
77,109,4.0
77,140,3.0
78,10,4.0
78,19,3.0
78,20,4.0
78,22,4.0
78,24,3.0
78,50,4.0
78,53,4.0
78,60,4.0
78,65,3.0
78,76,4.0
78,88,3.0
78,92,4.0
78,96,4.0
78,98,4.0
78,112,4.0
78,131,4.0
78,144,1.0
79,59,4.0
79,132,4.0
79,148,4.0
80,2,4.0
80,17,3.0
80,19,1.0
80,68,4.0
